Service,Status,Capability,Capability Status
kubernetes-fleet-manager,Preview,N/A,N/A
kubernetes-service,Generally Available,N/A,N/A
lab-services,Generally Available,N/A,N/A
load-balancer,Generally Available,N/A,N/A
load-testing,Generally Available,N/A,N/A
logic-apps,Generally Available,N/A,N/A
machine-learning-service,Generally Available,N/A,N/A
managed-applications,Not Available,N/A,N/A
managed-disks,Generally Available,N/A,N/A
managed-grafana,Generally Available,N/A,N/A
managed-instance-apache-cassandra,Generally Available,N/A,N/A
managed-lustre,Generally Available,N/A,N/A
mariadb,Generally Available,N/A,N/A
media-services,Generally Available,N/A,N/A
modeling-and-simulation-workbench,Generally Available,N/A,N/A
monitor,N/A,action-groups,Not Available
monitor,N/A,activity-log,Not Available
monitor,N/A,alerts,Not Available
monitor,N/A,alerts-classic,Not Available
monitor,N/A,application-insights,Generally Available
monitor,N/A,autoscale,Generally Available
monitor,N/A,diagnostic-logs,Not Available
monitor,N/A,log-analytics,Generally Available
monitor,N/A,managed-prometheus,Generally Available
monitor,N/A,metrics,Not Available
mysql,N/A,mysql-flexible-server,Generally Available
netapp,Generally Available,N/A,N/A
network-watcher,Generally Available,N/A,N/A
notification-hubs,Generally Available,N/A,N/A
object-anchors,Not Available,N/A,N/A
open-datasets,Not Available,N/A,N/A
openshift,Generally Available,N/A,N/A
operator-insights,Not Available,N/A,N/A
operator-service-manager,Not Available,N/A,N/A
orbital,Not Available,N/A,N/A
payment-hsm,Generally Available,N/A,N/A
postgresql,N/A,postgresql-flexible-server,Generally Available
power-bi-embedded,Not Available,N/A,N/A
private-link,Generally Available,N/A,N/A
project-bonsai,Not Available,N/A,N/A
purview,Generally Available,N/A,N/A
quantum,Preview,N/A,N/A
redis-cache,N/A,redis-cache-enterprise,Generally Available
remote-rendering,Generally Available,N/A,N/A
resource-mover,Not Available,N/A,N/A
route-server,Generally Available,N/A,N/A
scheduler,Generally Available,N/A,N/A
search,N/A,cognitive-search,Generally Available
search,N/A,semantic-search,Preview
service-bus,Generally Available,N/A,N/A
service-fabric,Generally Available,N/A,N/A
service-health,Not Available,N/A,N/A
signalr-service,Generally Available,N/A,N/A
site-recovery,Generally Available,N/A,N/A
spatial-anchors,Generally Available,N/A,N/A
spring-apps,Generally Available,N/A,N/A
sql-server-stretch-database,Generally Available,N/A,N/A
storage,N/A,archive-storage,Generally Available
storage,N/A,data-lake-storage,Generally Available
storage,N/A,data-lake-storage-premium,Generally Available
storage,N/A,file-sync,Generally Available
storage,N/A,hot-cool-storage,Generally Available
storage,N/A,import-export,Not Available
storage,N/A,premium-storage,Generally Available
storage,N/A,storage\premium-blob-storage,Generally Available
storage,N/A,storage\premium-files-storage,Generally Available
storage,N/A,ultra-disk-storage,Generally Available
storage-mover,Preview,N/A,N/A
stream-analytics,Generally Available,N/A,N/A
synapse-analytics,N/A,synapse-analytics-data-explorer,Preview
synapse-analytics,N/A,synapse-analytics-default-workspace,Generally Available
time-series-insights,Generally Available,N/A,N/A
traffic-manager,Not Available,N/A,N/A
update-management-center,Preview,N/A,N/A
virtual-desktop,Not Available,N/A,N/A
virtual-machine-scale-sets,Generally Available,N/A,N/A
virtual-machines,N/A,a-series,Generally Available
virtual-machines,N/A,av2-series,Generally Available
virtual-machines,N/A,baremetal-infrastructure,Generally Available
virtual-machines,N/A,basv2-series,Preview
virtual-machines,N/A,bpsv2-series,Generally Available
virtual-machines,N/A,bs-series,Generally Available
virtual-machines,N/A,bsv2-series,Preview
virtual-machines,N/A,compute-intensive,Generally Available
virtual-machines,N/A,d-series,Generally Available
virtual-machines,N/A,dadsv5-series,Generally Available
virtual-machines,N/A,dasv4-series,Generally Available
virtual-machines,N/A,dasv5-series,Generally Available
virtual-machines,N/A,dav4-series,Generally Available
virtual-machines,N/A,dcadsv5-series,Generally Available
virtual-machines,N/A,dcasv5-series,Generally Available
virtual-machines,N/A,dcdsv3-series,Generally Available
virtual-machines,N/A,dcsv2-series,Generally Available
virtual-machines,N/A,dcsv3-series,Generally Available
virtual-machines,N/A,ddsv4-series,Generally Available
virtual-machines,N/A,ddsv5-series,Generally Available
virtual-machines,N/A,ddv4-series,Generally Available
virtual-machines,N/A,ddv5-series,Generally Available
virtual-machines,N/A,dldsv5-series,Generally Available
virtual-machines,N/A,dlsv5-series,Generally Available
virtual-machines,N/A,dpdsv5-series,Generally Available
virtual-machines,N/A,dpldsv5-series,Generally Available
virtual-machines,N/A,dplsv5-series,Generally Available
virtual-machines,N/A,dpsv5-series,Generally Available
virtual-machines,N/A,ds-series,Generally Available
virtual-machines,N/A,dsv2-series,Generally Available
virtual-machines,N/A,dsv3-series,Generally Available
virtual-machines,N/A,dsv4-series,Generally Available
virtual-machines,N/A,dsv5-series,Generally Available
virtual-machines,N/A,dv2-series,Generally Available
virtual-machines,N/A,dv3-series,Generally Available
virtual-machines,N/A,dv4-series,Generally Available
virtual-machines,N/A,dv5-series,Generally Available
virtual-machines,N/A,eadsv5-series,Generally Available
virtual-machines,N/A,easv4-series,Generally Available
virtual-machines,N/A,easv5-series,Generally Available
virtual-machines,N/A,eav4-series,Generally Available
virtual-machines,N/A,ebdsv5-series,Generally Available
virtual-machines,N/A,ebsv5-series,Generally Available
virtual-machines,N/A,ecadsv5-series,Generally Available
virtual-machines,N/A,ecasv5-series,Generally Available
virtual-machines,N/A,edsv4-series,Generally Available
virtual-machines,N/A,edsv5-series,Generally Available
virtual-machines,N/A,edv4-series,Generally Available
virtual-machines,N/A,edv5-series,Generally Available
virtual-machines,N/A,epdsv5-series,Generally Available
virtual-machines,N/A,epsv5-series,Generally Available
virtual-machines,N/A,esv3-series,Generally Available
virtual-machines,N/A,esv4-series,Generally Available
virtual-machines,N/A,esv5-series,Generally Available
virtual-machines,N/A,ev3-series,Generally Available
virtual-machines,N/A,ev4-series,Generally Available
virtual-machines,N/A,ev5-series,Generally Available
virtual-machines,N/A,f-series,Generally Available
virtual-machines,N/A,fs-series,Generally Available
virtual-machines,N/A,fsv2-series,Generally Available
virtual-machines,N/A,fx-series,Not Available
virtual-machines,N/A,g-series,Not Available
virtual-machines,N/A,gs-series,Not Available
virtual-machines,N/A,h-series,Generally Available
virtual-machines,N/A,hb-series,Generally Available
virtual-machines,N/A,hbv2-series,Generally Available
virtual-machines,N/A,hbv3-series,Generally Available
virtual-machines,N/A,hbv4-series,Generally Available
virtual-machines,N/A,hc-series,Generally Available
virtual-machines,N/A,hx-series,Not Available
virtual-machines,N/A,instance-ip,Generally Available
virtual-machines,N/A,lasv3-series,Generally Available
virtual-machines,N/A,ls-series,Not Available
virtual-machines,N/A,lsv2-series,Generally Available
virtual-machines,N/A,lsv3-series,Generally Available
virtual-machines,N/A,m-series,Generally Available
virtual-machines,N/A,mdsv2-medium-memory-series,Generally Available
virtual-machines,N/A,msv2-medium-memory-series,Generally Available
virtual-machines,N/A,mv2-series,Generally Available
virtual-machines,N/A,nc-series,Generally Available
virtual-machines,N/A,nca100v4-series,Generally Available
virtual-machines,N/A,nca10v4-series,Not Available
virtual-machines,N/A,ncast4v3-series,Generally Available
virtual-machines,N/A,ncsv2-series,Generally Available
virtual-machines,N/A,ncsv3-series,Generally Available
virtual-machines,N/A,nda100v4-series,Generally Available
virtual-machines,N/A,ndma100v4-series,Not Available
virtual-machines,N/A,nds-series,Generally Available
virtual-machines,N/A,ndv2-series,Generally Available
virtual-machines,N/A,ngv620v1-series,Not Available
virtual-machines,N/A,np-series,Generally Available
virtual-machines,N/A,nv-series,Generally Available
virtual-machines,N/A,nvv3-series,Generally Available
virtual-machines,N/A,nvv4-series,Generally Available
virtual-machines,N/A,nvv5-series,Generally Available
virtual-machines,N/A,reserved-ip,Generally Available
virtual-machines,N/A,sap-hana-large,Generally Available
virtual-machines,N/A,virtual-machines\dedicated-host,Generally Available
virtual-machines,N/A,virtual-machines\sql-server,Generally Available
virtual-network,Generally Available,N/A,N/A
virtual-network-manager,Generally Available,N/A,N/A
virtual-network-nat,Generally Available,N/A,N/A
virtual-wan,Generally Available,N/A,N/A
vpn-gateway,Generally Available,N/A,N/A
web-pubsub,Generally Available,N/A,N/A
windows-10-iot-core,Not Available,N/A,N/A
windows-admin-center,Not Available,N/A,N/A
